"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected IF Range from: 0.000 Selected Category Scheme: WoS",,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor
113,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,16.405
113,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,16.405
115,ACS Energy Letters,ACS ENERGY LETT,16.331
116,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,16.173
116,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,16.173
118,JAMA Psychiatry,JAMA PSYCHIAT,15.916
118,JAMA Psychiatry,JAMA PSYCHIAT,15.916
120,Lancet Global Health,LANCET GLOB HEALTH,15.873
120,Lancet Global Health,LANCET GLOB HEALTH,15.873
122,CIRCULATION RESEARCH,CIRC RES,15.862
123,Advanced Science,ADV SCI,15.804
124,Cell Host & Microbe,CELL HOST MICROBE,15.753
125,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,15.621
126,FUNGAL DIVERSITY,FUNGAL DIVERS,15.596
127,Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,15.588
128,Nano Energy,NANO ENERGY,15.548
129,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,15.519
130,DIABETES CARE,DIABETES CARE,15.270
131,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,15.255
132,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,15.236
133,Annual Review of Marine Science,ANNU REV MAR SCI,15.225
134,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,15.221
135,ENDOCRINE REVIEWS,ENDOCR REV,15.167
136,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,15.143
137,HEPATOLOGY,HEPATOLOGY,14.971
138,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,14.874
139,SURFACE SCIENCE REPORTS,SURF SCI REP,14.824
140,MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,14.797
141,Lancet HIV,LANCET HIV,14.753
142,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,J AM CHEM SOC,14.695
143,Nature Microbiology,NAT MICROBIOL,14.633
144,Living Reviews in Solar Physics,LIVING REV SOL PHYS,14.625
145,MOLECULAR CELL,MOL CELL,14.548
146,Nature Geoscience,NAT GEOSCI,14.480
147,Alzheimers & Dementia,ALZHEIMERS DEMENT,14.423
148,NEURON,NEURON,14.403
149,Materials Horizons,MATER HORIZ,14.356
150,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,14.299
151,APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,14.229
152,ANNALS OF ONCOLOGY,ANN ONCOL,14.196
153,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,14.110
154,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,14.098
154,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,14.098
156,GENOME BIOLOGY,GENOME BIOL,14.028
157,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,14.006
158,Light-Science & Applications,LIGHT-SCI APPL,14.000
159,Advances in Optics and Photonics,ADV OPT PHOTONICS,13.963
160,ACS Nano,ACS NANO,13.903
161,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,13.833
162,TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,13.747
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,13.744
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,13.744
165,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,13.655
165,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,13.655
167,COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,13.476
168,Nature Plants,NAT PLANTS,13.297
169,IEEE Industrial Electronics Magazine,IEEE IND ELECTRON M,13.241
170,National Science Review,NATL SCI REV,13.222
171,TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,13.000
172,HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,12.878
173,Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,12.856
174,ACS Central Science,ACS CENTRAL SCI,12.837
175,BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,12.831
176,Science Advances,SCI ADV,12.804
177,Applied Physics Reviews,APPL PHYS REV,12.750
178,PROGRESS IN LIPID RESEARCH,PROG LIPID RES,12.540
179,Journal of Thoracic Oncology,J THORAC ONCOL,12.460
180,JAMA Neurology,JAMA NEUROL,12.321
181,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,12.314
182,Academy of Management Annals,ACAD MANAG ANN,12.289
183,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,12.282
184,NANO LETTERS,NANO LETT,12.279
185,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,12.257
185,Annual Review of Biomedical Engineering,ANNU REV BIOMED ENG,12.257
187,ACS Catalysis,ACS CATAL,12.221
188,Physical Review X,PHYS REV X,12.211
189,Annual Review of Biophysics,ANNU REV BIOPHYS,12.175
190,Nature Chemical Biology,NAT CHEM BIOL,12.154
191,EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,12.129
192,NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,12.109
193,Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,12.103
194,Annual Review of Neuroscience,ANNU REV NEUROSCI,12.043
195,JAMA Pediatrics,JAMA PEDIATR,12.004
196,Lancet Haematology,LANCET HAEMATOL,11.990
197,Annual Review of Physical Chemistry,ANNU REV PHYS CHEM,11.982
198,TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,11.974
199,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,11.973
200,Nature Communications,NAT COMMUN,11.878
201,NATURAL PRODUCT REPORTS,NAT PROD REP,11.876
202,JAMA Cardiology,JAMA CARDIOL,11.866
203,BRAIN,BRAIN,11.814
204,EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,11.807
205,Annual Review of Entomology,ANNU REV ENTOMOL,11.796
206,QUARTERLY JOURNAL OF ECONOMICS,Q J ECON,11.775
207,PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,11.768
208,DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,11.708
209,IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,11.683
210,Journal of Statistical Software,J STAT SOFTW,11.655
211,BRITISH JOURNAL OF SPORTS MEDICINE,BRIT J SPORT MED,11.645
212,Lancet Public Health,LANCET PUBLIC HEALTH,11.600
212,Lancet Public Health,LANCET PUBLIC HEALTH,11.600
214,FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,11.524
215,TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,11.523
216,BIOLOGICAL PSYCHIATRY,BIOL PSYCHIAT,11.501
217,Nature Protocols,NAT PROTOC,11.334
218,IMMUNOLOGICAL REVIEWS,IMMUNOL REV,11.292
219,EMBO JOURNAL,EMBO J,11.227
220,NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,11.147
221,Autophagy,AUTOPHAGY,11.059
222,PLOS MEDICINE,PLOS MED,11.048
223,Physics of Life Reviews,PHYS LIFE REV,11.045
224,TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,11.028
225,IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,11.000
225,Journal of Extracellular Vesicles,J EXTRACELL VESICLES,11.000
227,JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,10.975
228,Nature Ecology & Evolution,NAT ECOL EVOL,10.965
229,Earth System Science Data,EARTH SYST SCI DATA,10.951
230,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,10.935
231,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,10.892
232,Genome Medicine,GENOME MED,10.886
233,Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,10.878
234,Small,SMALL,10.856
235,Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,10.833
236,Molecular Plant,MOL PLANT,10.812
237,Annual Review of Public Health,ANNU REV PUBL HEALTH,10.776
237,Annual Review of Public Health,ANNU REV PUBL HEALTH,10.776
239,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,10.764
240,Journal of Cachexia Sarcopenia and Muscle,J CACHEXIA SARCOPENI,10.754
241,Journal of Materials Chemistry A,J MATER CHEM A,10.733
242,Information Fusion,INFORM FUSION,10.716
243,PROCEEDINGS OF THE IEEE,P IEEE,10.694
244,Molecular Cancer,MOL CANCER,10.679
245,JAMA Surgery,JAMA SURG,10.668
246,Advances in Applied Mechanics,ADV APPL MECH,10.667
247,PROGRESS IN NEUROBIOLOGY,PROG NEUROBIOL,10.658
248,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,10.632
249,TRENDS IN GENETICS,TRENDS GENET,10.627
250,EMBO Molecular Medicine,EMBO MOL MED,10.624
251,Nature Human Behaviour,NAT HUM BEHAV,10.575
251,Nature Human Behaviour,NAT HUM BEHAV,10.575
253,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,10.556
254,Science Immunology,SCI IMMUNOL,10.551
255,SLEEP MEDICINE REVIEWS,SLEEP MED REV,10.517
256,Nature Astronomy,NAT ASTRON,10.500
257,IEEE Transactions on Smart Grid,IEEE T SMART GRID,10.486
258,Microbiome,MICROBIOME,10.465
259,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,10.427
259,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,10.427
261,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,J PHOTOCH PHOTOBIO C,10.405
262,AGEING RESEARCH REVIEWS,AGEING RES REV,10.390
263,IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,10.387
264,IEEE COMMUNICATIONS MAGAZINE,IEEE COMMUN MAG,10.356
265,THORAX,THORAX,10.307
266,BIOLOGICAL REVIEWS,BIOL REV,10.288
267,BIOMATERIALS,BIOMATERIALS,10.273
267,PSYCHOLOGICAL INQUIRY,PSYCHOL INQ,10.273
269,SYSTEMATIC BIOLOGY,SYST BIOL,10.266
270,Annual Review of Microbiology,ANNU REV MICROBIOL,10.242
271,AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,10.241
272,JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,10.211
273,Annual Review of Phytopathology,ANNU REV PHYTOPATHOL,10.200
274,INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,INT REV PHYS CHEM,10.172
275,CHEMISTRY OF MATERIALS,CHEM MATER,10.159
276,Annual Review of Medicine,ANNU REV MED,10.091
276,NEURO-ONCOLOGY,NEURO-ONCOLOGY,10.091
278,GENOME RESEARCH,GENOME RES,9.944
278,LEUKEMIA,LEUKEMIA,9.944
280,AMERICAN JOURNAL OF HUMAN GENETICS,AM J HUM GENET,9.924
281,CLINICAL PSYCHOLOGY REVIEW,CLIN PSYCHOL REV,9.904
282,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,PERS SOC PSYCHOL REV,9.903
283,Molecular Systems Biology,MOL SYST BIOL,9.800
284,MEDICINAL RESEARCH REVIEWS,MED RES REV,9.791
285,TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS ENDOCRIN MET,9.777
286,IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,9.659
287,SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,9.658
288,CHEST,CHEST,9.657
289,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,9.580
290,Annual Review of Chemical and Biomolecular Engineering,ANNU REV CHEM BIOMOL,9.569
291,Chemical Science,CHEM SCI,9.556
292,JACC-Cardiovascular Interventions,JACC-CARDIOVASC INTE,9.544
293,EARTH-SCIENCE REVIEWS,EARTH-SCI REV,9.530
294,BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,9.518
295,IEEE Internet of Things Journal,IEEE INTERNET THINGS,9.515
296,ANNALS OF NEUROLOGY,ANN NEUROL,9.496
297,ISME Journal,ISME J,9.493
298,ANNALS OF SURGERY,ANN SURG,9.476
299,GREEN CHEMISTRY,GREEN CHEM,9.405
300,PHARMACOLOGY & THERAPEUTICS,PHARMACOL THERAPEUT,9.396
301,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,J ACAD MARKET SCI,9.360
302,Analytic Methods in Accident Research,ANAL METHODS ACCID R,9.333
302,Nature Reviews Urology,NAT REV UROL,9.333
304,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,9.302
305,Optica,OPTICA,9.263
306,Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,9.235
307,PHYSICAL REVIEW LETTERS,PHYS REV LETT,9.227
308,STUDIES IN MYCOLOGY,STUD MYCOL,9.206
309,npj Computational Materials,NPJ COMPUT MATER,9.200
310,CURRENT BIOLOGY,CURR BIOL,9.193
311,DEVELOPMENTAL CELL,DEV CELL,9.190
312,Annual Review of Genetics,ANNU REV GENET,9.184
313,Cold Spring Harbor Perspectives in Biology,CSH PERSPECT BIOL,9.110
314,Ocular Surface,OCUL SURF,9.108
315,BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,9.101
316,Nanoscale Horizons,NANOSCALE HORIZ,9.095
317,Health Psychology Review,HEALTH PSYCHOL REV,9.070
318,MASS SPECTROMETRY REVIEWS,MASS SPECTROM REV,9.068
319,JOURNAL OF MANAGEMENT,J MANAGE,9.056
319,Laser & Photonics Reviews,LASER PHOTONICS REV,9.056
321,CLINICAL INFECTIOUS DISEASES,CLIN INFECT DIS,9.055
322,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,INT J ENG SCI,9.052
323,Nano-Micro Letters,NANO-MICRO LETT,9.043
324,Arthritis & Rheumatology,ARTHRITIS RHEUMATOL,9.002
325,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,CATAL REV,9.000
326,GENES & DEVELOPMENT,GENE DEV,8.990
327,REVIEW OF EDUCATIONAL RESEARCH,REV EDUC RES,8.985
328,CLINICAL CANCER RESEARCH,CLIN CANCER RES,8.911
329,JACC-Heart Failure,JACC-HEART FAIL,8.910
330,JOURNAL OF CELL BIOLOGY,J CELL BIOL,8.891
331,Trends in Cancer,TRENDS CANCER,8.884
332,GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,8.880
332,MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,8.880
334,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,PROG NUCL MAG RES SP,8.848
335,PROGRESS IN SURFACE SCIENCE,PROG SURF SCI,8.762
336,IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,8.759
337,Reviews in Mineralogy & Geochemistry,REV MINERAL GEOCHEM,8.745
338,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,COMPR REV FOOD SCI F,8.738
339,Social Issues and Policy Review,SOC ISS POLICY REV,8.733
340,Journal of Hematology & Oncology,J HEMATOL ONCOL,8.731
341,Journal for ImmunoTherapy of Cancer,J IMMUNOTHER CANCER,8.728
342,Annual Review of Analytical Chemistry,ANNU REV ANAL CHEM,8.721
343,ECOLOGY LETTERS,ECOL LETT,8.699
344,NEUROLOGY,NEUROLOGY,8.689
345,GENETICS IN MEDICINE,GENET MED,8.683
346,Cell Systems,CELL SYST,8.640
347,PLANT CELL,PLANT CELL,8.631
348,Cancer Immunology Research,CANCER IMMUNOL RES,8.619
349,Annual Review of Environment and Resources,ANNU REV ENV RESOUR,8.617
349,Annual Review of Environment and Resources,ANNU REV ENV RESOUR,8.617
351,JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,8.578
352,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,J AM SOC NEPHROL,8.547
353,CURRENT OPINION IN CHEMICAL BIOLOGY,CURR OPIN CHEM BIOL,8.544
354,TRENDS IN FOOD SCIENCE & TECHNOLOGY,TRENDS FOOD SCI TECH,8.519
355,Nano Research,NANO RES,8.515
356,Annual Review of Food Science and Technology,ANNU REV FOOD SCI T,8.511
357,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,8.508
358,ORGANIZATION & ENVIRONMENT,ORGAN ENVIRON,8.500
359,ACS Applied Materials & Interfaces,ACS APPL MATER INTER,8.456
360,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,TRAC-TREND ANAL CHEM,8.428
361,APPLIED ENERGY,APPL ENERG,8.426
362,Annual Review of Nutrition,ANNU REV NUTR,8.422
363,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,8.418
364,MOLECULAR THERAPY,MOL THER,8.402
365,PLOS BIOLOGY,PLOS BIOL,8.386
366,EMBO REPORTS,EMBO REP,8.383
367,CANCER RESEARCH,CANCER RES,8.378
368,Astrophysical Journal Letters,ASTROPHYS J LETT,8.374
369,CHEMICAL ENGINEERING JOURNAL,CHEM ENG J,8.355
370,CANCER TREATMENT REVIEWS,CANCER TREAT REV,8.332
371,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,J NEUROL NEUROSUR PS,8.327
372,MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,8.313
373,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,ASTROPHYS J SUPPL S,8.311
374,KIDNEY INTERNATIONAL,KIDNEY INT,8.306
375,BMC Medicine,BMC MED,8.285
376,Molecular Neurodegeneration,MOL NEURODEGENER,8.274
377,npj Quantum Information,NPJ QUANTUM INFORM,8.270
378,ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,8.243
379,CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,8.233
380,MOVEMENT DISORDERS,MOVEMENT DISORD,8.222
381,REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,8.218
382,Cellular & Molecular Immunology,CELL MOL IMMUNOL,8.213
383,Obesity Reviews,OBES REV,8.192
384,Perspectives on Psychological Science,PERSPECT PSYCHOL SCI,8.190
385,PSYCHOLOGICAL METHODS,PSYCHOL METHODS,8.188
386,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,B AM METEOROL SOC,8.166
387,SPACE SCIENCE REVIEWS,SPACE SCI REV,8.142
388,Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,8.127
389,CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,8.086
390,CURRENT OPINION IN BIOTECHNOLOGY,CURR OPIN BIOTECH,8.083
391,Theranostics,THERANOSTICS,8.063
392,NPG Asia Materials,NPG ASIA MATER,8.052
393,ADMINISTRATIVE SCIENCE QUARTERLY,ADMIN SCI QUART,8.024
394,TRENDS IN PARASITOLOGY,TRENDS PARASITOL,8.020
395,Applied Materials Today,APPL MATER TODAY,8.013
396,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,NEUROSCI BIOBEHAV R,8.002
397,JAMA Dermatology,JAMA DERMATOL,7.995
398,Clinical Gastroenterology and Hepatology,CLIN GASTROENTEROL H,7.958
399,ENVIRONMENT INTERNATIONAL,ENVIRON INT,7.943
400,Annual Review of Genomics and Human Genetics,ANNU REV GENOM HUM G,7.914
401,WATER RESEARCH,WATER RES,7.913
402,JOURNAL OF CONTROLLED RELEASE,J CONTROL RELEASE,7.901
403,Blood Cancer Journal,BLOOD CANCER J,7.895
