journal,pmc_ID,mouse_strain
eLife,PMC6488297,Mus musculus
Front_Mol_Neurosci,PMC6056684,Mus musculus
Genom_Data,PMC4583621,Mus musculus/Peyer's
Genom_Data,PMC4778660,Mus musculus
Genom_Data,PMC4778660,Mus musculus
Genom_Data,PMC4778660,Mus musculus
Eur_J_Immunol,PMC3799015,Mus musculus
eLife,PMC6033538,Mus musculus
Genom_Data,PMC4818347,Mus musculus/
Genom_Data,PMC4778654,Mus musculus/MEFs,
Front_Mol_Biosci,PMC6746933,Mus musculus
Genome_Biol,PMC4576406,Mus musculus
Genom_Data,PMC4583698,Mus musculus
eLife,PMC4811777,mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
Genome_Med,PMC4977876,Mus Spretus&#x02009;&#x000d7;&#x02009;FVB/N)
Genome_Med,PMC4977876,Mus musculus
Genome_Med,PMC4977876,Mus spretus
Genome_Med,PMC4977876,Mus spretus
Genome_Med,PMC4977876,Mus musculus
Genome_Med,PMC4977876,Mus spretus
Genome_Med,PMC4977876,Mus musculus
Front_Immunol,PMC6254543,Mus musculus
Front_Cardiovasc_Med,PMC5928323,Mus musculus,
Bone_Rep,PMC6864341,Mus musculus
Bone_Rep,PMC6864341,Mus musculus
Genom_Data,PMC4535656,Mus musculus
Genom_Data,PMC4664721,Mus musculus/mouse
Genom_Data,PMC4338950,Mus musculus
Genom_Data,PMC4474491,Mus musculus
G3_(Bethesda),PMC6553531,Mus musculus
G3_(Bethesda),PMC6553531,Mus musculus
G3_(Bethesda),PMC6553531,Mus musculus
BMC_Genomics,PMC6396472,Mus musculus
G3_(Bethesda),PMC3284328,Mus musculus domesticus
Genom_Data,PMC4584023,Mus musculus
eLife,PMC6692130,Mus musculus
eLife,PMC6692130,Mus musculus
eLife,PMC6692130,Mus musculus
eLife,PMC6692130,Mus musculus
eLife,PMC6692130,Mus musculus)
eLife,PMC6692130,Mus musculus
Genome_Biol,PMC5769327,Mus musculus
G3_(Bethesda),PMC5919724,Mus musculus
Genom_Data,PMC4583688,Mus musculus
BMC_Biol,PMC6151936,Mus musculus
BMC_Genomics,PMC5383967,Mus musculus
Genom_Data,PMC4778658,Mus musculus
Genom_Data,PMC4778658,Mus musculus
Genom_Data,PMC4778658,Mus musculus
Front_Immunol,PMC6662553,Mus musculus
eLife,PMC6292694,Mus musculus)
eLife,PMC6292694,Mus musculus)
eLife,PMC6292694,Mus musculus)
eLife,PMC6292694,Mus musculus)
Genome_Biol,PMC4073058,Mus musculus,
Genome_Biol,PMC4056533,Mus musculus
Genome_Biol,PMC4056533,Mus musculus
Genome_Biol,PMC4056533,Mus musculus
Genom_Data,PMC4583701,Mus musculus
Epigenetics_Chromatin,PMC4574566,Mus musculus
Epigenetics_Chromatin,PMC4574566,Mus musculus
Genom_Data,PMC4583690,Mus musculus
Genom_Data,PMC4583695,Mus musculus
Genom_Data,PMC4583695,Mus musculus
Genom_Data,PMC4664657,Mus musculus
BMC_Genomics,PMC4557482,Mus spretus-derived
Genome_Med,PMC4857420,Mus musculus
Genom_Data,PMC4778598,Mus musculus
Genom_Data,PMC4583700,Mus musculus
BMC_Med_Genomics,PMC2967494,Mus musculus
Genom_Data,PMC4535928,Mus Musculus,
Genom_Data,PMC4535869,Mus musculus
Genome_Biol,PMC4546214,Mus musculus
Genome_Biol,PMC4546214,Mus musculus
Genome_Biol,PMC4546214,Mus musculus
Environ_Health_Perspect,PMC5944832,Mus musculus domesticus
Cell_Rep,PMC6981299,Mus musculus
Genom_Data,PMC4664773,Mus musculus
Cell_Death_Dis,PMC5133999,Mus musculus
Genom_Data,PMC4500531,Mus musculus;
Data_Brief,PMC6156738,Mus Musculus
Genom_Data,PMC4664737,Mus musculus
Genom_Data,PMC4664737,Mus musculus
BMC_Genomics,PMC5112738,Mus musculus
BMC_Genomics,PMC5112738,Mus musculus
Genome_Med,PMC4857420,Mus musculus
Genome_Biol,PMC6819472,Mus musculus
Front_Genet,PMC6565949,Mus musculus
Front_Genet,PMC6565949,Mus musculus
Genome_Biol,PMC4858858,Mus musculus
Genome_Biol,PMC4858858,Mus musculus
Genome_Biol,PMC4858858,Mus musculus
Genome_Biol,PMC4858858,Mus musculus
Genome_Biol,PMC4858858,Mus musculus
Genome_Biol,PMC4858858,Mus musculus
Genom_Data,PMC4664674,Mus musculus
Cell_Rep,PMC6655560,Mus musculus
Cell_Rep,PMC5554778,Mus musculus
Breast_Cancer_Res,PMC3978436,mus musculus
Cell_Rep,PMC6296764,Mus musculus
BMC_Cancer,PMC6019805,Mus musculus
Genome_Med,PMC4886428,Mus musculus
Genome_Med,PMC4886428,Mus musculus
Hum_Mol_Genet,PMC4189897,Mus musculus
BMC_Biol,PMC6151936,Mus musculus
Dev_Cell,PMC6286383,Mus musculus
eLife,PMC5094851,mus musculus
G3_(Bethesda),PMC4132174,Mus musculus domesticus
eLife,PMC6701943,Mus musculus
eLife,PMC6701943,Mus musculus
eLife,PMC5634787,Mus musculus
eLife,PMC6095690,mus musculus
Data_Brief,PMC4707287,Mus musculus
Genome_Biol,PMC3245615,Mus musculus
BMC_Genomics,PMC6615288,Mus musculus
eLife,PMC6389288,Mus musculus
eLife,PMC6389288,Mus musculus
eLife,PMC6389288,Mus musculus
eLife,PMC6389288,Mus musculus
eLife,PMC6389288,Mus musculus
eLife,PMC6389288,Mus musculus)
eLife,PMC6389288,Mus musculus
Genome_Biol,PMC4197816,Mus musculus
BMC_Microbiol,PMC5596872,Mus musculus
BMC_Microbiol,PMC5596872,Mus musculus
BMC_Microbiol,PMC5596872,Mus musculus
BMC_Microbiol,PMC5596872,Mus musculus,
BMC_Microbiol,PMC5596872,Mus musculus
Genome_Biol,PMC5415793,Mus musculus
Genome_Biol,PMC5415793,Mus musculus
Genome_Biol,PMC5415793,Mus musculus
BMC_Genomics,PMC4848794,Mus musculus
eLife,PMC6611694,Mus Musculus
eLife,PMC6611694,Mus Musculus
eLife,PMC6611694,Mus Musculus
eLife,PMC6611694,Mus Musculus
eLife,PMC6611694,Mus Musculus
BMC_Biol,PMC6142630,Mus musculus
eLife,PMC6611694,Mus Musculus
eLife,PMC6611694,Mus Musculus
eLife,PMC6611694,Mus Musculus
eLife,PMC6611694,Mus Musculus
eLife,PMC6611694,Mus Musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
BMC_Res_Notes,PMC3125344,Mus musculus
Genome_Biol,PMC5769491,Mus Musculus
Epigenetics_Chromatin,PMC5078890,mus musculus
BMC_Genomics,PMC6107967,Mus musculus
BMC_Genomics,PMC6107967,Mus musculus
EMBO_Mol_Med,PMC5697015,Mus musculus
BMC_Biol,PMC5930764,Mus musculus
eLife,PMC6135608,Mus musculus)
eLife,PMC6135608,Mus musculus)
eLife,PMC6135608,Mus musculus)
eLife,PMC6135608,Mus musculus)
eLife,PMC6135608,Mus musculus)
eLife,PMC6135608,Mus musculus)
eLife,PMC6135608,Mus musculus domesticus
Front_Immunol,PMC6305494,Mus musculus
Genome_Biol,PMC5585977,Mus musculus
Genome_Biol,PMC5585977,Mus musculus
Genome_Biol,PMC5585977,Mus musculus
Development,PMC3201656,Mus musculus
eLife,PMC6597241,Mus musculus
Cell_Rep,PMC6310487,Mus musculus
eNeuro,PMC5659240,Mus musculus
BMC_Res_Notes,PMC3221605,Mus musculus
Front_Cell_Infect_Microbiol,PMC6582659,Mus musculus
Cell_Rep,PMC6302549,Mus musculus
BMC_Neurosci,PMC2216081,Mus musculus
BMC_Genomics,PMC3022919,Mus Musculus
eLife,PMC5634787,Mus musculus
Genome_Biol,PMC2394769,Mus musculus
Genome_Biol,PMC2394769,Mus musculus
Genome_Biol,PMC2394769,Mus musculus
Front_Immunol,PMC5672022,Mus musculus
Cell_Rep,PMC6555151,Mus musculus
Cell,PMC6630709,Mus musculus
Cell,PMC6630709,Mus musculus
Cell,PMC6630709,Mus musculus
Cell,PMC6630709,Mus musculus
Cell,PMC6630709,Mus musculus
Cell,PMC6630709,Mus musculus
Front_Mol_Neurosci,PMC5895709,Mus musculus
Front_Immunol,PMC6450362,Mus musculus
BMC_Genomics,PMC5715535,Mus musculus
DNA_Res,PMC3859323,Mus musculus
BMC_Genomics,PMC5715535,Mus musculus
eLife,PMC5340528,Mus musculus/mm10)
Genome_Biol,PMC4054835,Mus musculus
EMBO_J,PMC6443207,Mus musculus
EMBO_J,PMC6443207,Mus musculus
EMBO_J,PMC6443207,Mus musculus
eLife,PMC5340528,Mus musculus/mm10)
Genom_Data,PMC5079349,Mus musculus
Cell_Rep,PMC4542317,Mus musculus
Diabetologia,PMC6096631,Mus musculus
BMC_Dev_Biol,PMC6615237,Mus musculus
BMC_Genomics,PMC4982272,Mus musculus
BMC_Genomics,PMC4982272,Mus musculus
BMC_Genomics,PMC4982272,Mus musculus
Front_Neurosci,PMC6336091,Mus musculus
Front_Neurosci,PMC6336091,Mus musculus
Front_Immunol,PMC6334666,Mus Musculus
Arthritis_Res_Ther,PMC2483455,Mus musculus
Genes_Immun,PMC5133152,Mus musculus musculus
Epigenetics_Chromatin,PMC4676890,Mus musculus
Epigenetics_Chromatin,PMC4676890,Mus musculus
Front_Microbiol,PMC6409323,Mus musculus
Dev_Cell,PMC5792066,Mus musculus
BMC_Genomics,PMC5223329,Mus musculus
Front_Mol_Neurosci,PMC6797848,Mus musculus
Genome_Biol,PMC3334567,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC5407856,Mus musculus
eLife,PMC6345566,Mus musculus
Cell,PMC6333919,Mus musculus castaneus
Cell,PMC6333919,Mus musculus castaneus
Cell,PMC6333919,Mus musculus
Cell,PMC6333919,Mus musculus
Cell,PMC6333919,Mus musculus
Cell,PMC6333919,Mus musculus
Cell,PMC6333919,Mus musculus
eLife,PMC5818250,Mus musculus)
eLife,PMC5818250,Mus musculus)
eLife,PMC6456297,Mus musculus
eLife,PMC6456297,Mus musculus
eLife,PMC6456297,Mus musculus)
eLife,PMC6534382,Mus musculus castaneus
eLife,PMC6534382,Mus musculus castaneus
eLife,PMC6726424,Mus musculus
eLife,PMC6726424,Mus musculus
eLife,PMC6726424,Mus musculus
eLife,PMC6726424,Mus musculus
eLife,PMC6726424,Mus musculus
Cell_Rep,PMC6113931,Mus musculus
Cell_Rep,PMC6113931,Mus musculus
Cell_Rep,PMC6113931,Mus musculus
Cell_Rep,PMC6113931,Mus musculus
Cell_Rep,PMC6368857,Mus musculus
Genome_Biol,PMC2784319,Mus musculus
Genome_Biol,PMC2784319,Mus musculus
Genome_Biol,PMC2784319,Mus musculus
eLife,PMC4356143,Mus musculus
eLife,PMC3965291,Mus musculus
eLife,PMC4356143,Mus musculus
eLife,PMC6443350,Mus musculus
eLife,PMC4356143,Mus musculus
eLife,PMC4356143,Mus musculus
Epigenetics_Chromatin,PMC4562113,Mus musculus castaneus
Epigenetics_Chromatin,PMC4562113,Mus musculus
Front_Immunol,PMC5809440,Mus musculus
EBioMedicine,PMC6197375,Mus musculus
BMC_Genomics,PMC4328043,Mus musculus
eLife,PMC6504237,Mus musculus
eLife,PMC6435324,Mus musculus
eLife,PMC6435324,Mus musculus
Front_Neurosci,PMC6524554,mus musculus
Front_Neurosci,PMC6524554,mus musculus
Data_Brief,PMC4510476,Mus musculus
Data_Brief,PMC4510476,Mus musculus
Data_Brief,PMC4510476,Mus musculus
Data_Brief,PMC4510476,Mus musculus
Data_Brief,PMC4510476,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC4718815,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
eLife,PMC6407921,Mus musculus
Epigenetics_Chromatin,PMC6118007,Mus musculus
BMC_Genomics,PMC4712605,Mus musculus
BMC_Med_Genomics,PMC4353677,Mus musculus
eLife,PMC5826263,Mus musculus
eLife,PMC5826263,Mus musculus
eLife,PMC5826263,Mus musculus
eLife,PMC5826263,Mus musculus"
eLife,PMC5826263,Mus musculus"
eLife,PMC6544437,Mus musculus
eLife,PMC6544437,Mus musculus
eLife,PMC6544437,Mus musculus
eLife,PMC6544437,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
eLife,PMC6544432,Mus musculus
Front_Mol_Neurosci,PMC6667802,Mus musculus
eLife,PMC6392498,Mus musculus
eLife,PMC6242553,Mus musculus
BMC_Genomics,PMC5405551,mus musculus,
Genome_Biol,PMC1257467,Mus musculus
Genome_Biol,PMC1257467,Mus musculus
Genome_Biol,PMC4053835,Mus musculus
Front_Cell_Neurosci,PMC4351618,Mus musculus
Cell_Rep,PMC6314484,Mus musculus
Cell_Rep,PMC6314484,Mus musculus
Cell_Rep,PMC6314484,Mus musculus
Cell_Rep,PMC6314484,Mus musculus
Cell_Rep,PMC6113932,Mus musculus
Cell_Rep,PMC6113932,Mus musculus
Cell_Rep,PMC6113932,Mus musculus
Cell_Rep,PMC5668566,Mus musculus
Cell_Rep,PMC6424336,Mus musculus
Cell_Rep,PMC6424336,Mus musculus
Cell_Rep,PMC6424336,Mus musculus
Cell_Rep,PMC7071827,Mus musculus
Cell_Rep,PMC6750766,Mus musculus
Cell_Rep,PMC6750766,Mus musculus
Cell_Rep,PMC6750766,Mus musculus
Cell_Rep,PMC6733019,Mus musculus
Cell_Rep,PMC6788807,Mus musculus
Aging_(Albany_NY),PMC6326667,Mus musculus
eLife,PMC5762159,Mus musculus,C57BL/6
eLife,PMC5762159,Mus musculus,C57BL/6
eLife,PMC5762159,Mus musculus,C57BL/6
eLife,PMC5762159,Mus musculus,C57BL/6
eLife,PMC5762159,Mus musculus,C57BL/6
eLife,PMC5716665,Mus musculus
eLife,PMC5984036,Mus Musculus
eLife,PMC5984036,Mus Musculus
eLife,PMC5984036,Mus Musculus
eLife,PMC5984036,Mus Musculus
eLife,PMC5984036,Mus Musculus
eLife,PMC6126923,Mus musculus
eLife,PMC5703644,Mus musculus
eLife,PMC5703644,Mus musculus
eLife,PMC5703644,Mus musculus
eLife,PMC5703644,Mus musculus
eLife,PMC5703644,Mus musculus
eLife,PMC5703644,Mus musculus
eLife,PMC5703644,Mus musculus
eLife,PMC5703644,Mus musculus
eLife,PMC5703644,Mus musculus
eLife,PMC5703644,Mus musculus
eLife,PMC5703644,Mus musculus
Epigenetics_Chromatin,PMC4636812,Mus musculus
Epigenetics_Chromatin,PMC4870784,Mus musculus castaneus
Epigenetics_Chromatin,PMC4870784,Mus musculus
Epigenetics_Chromatin,PMC4870784,Mus musculus domesticus
Epigenetics_Chromatin,PMC4870784,Mus musculus castaneus
Epigenetics_Chromatin,PMC4870784,Mus musculus
Epigenetics_Chromatin,PMC4870784,Mus musculus castaneus
Epigenetics_Chromatin,PMC4870784,Mus musculus
Epigenetics_Chromatin,PMC4870784,Mus musculus castaneus
Epigenetics_Chromatin,PMC4870784,Mus musculus
Epigenetics_Chromatin,PMC4870784,Mus musculus castaneus
Epigenetics_Chromatin,PMC4870784,Mus musculus
Epigenetics_Chromatin,PMC4870784,Mus musculus castaneus
eLife,PMC6768661,Mus musculus
eLife,PMC6768661,Mus musculus
eLife,PMC6768661,Mus musculus
eLife,PMC6768661,Mus musculus
eLife,PMC6435319,Mus musculus
eLife,PMC6435319,Mus musculus
eLife,PMC6435319,Mus musculus
eLife,PMC6435319,Mus musculus
eLife,PMC6435319,Mus musculus
eLife,PMC6435319,Mus musculus
eLife,PMC6684266,Mus musculus)
eLife,PMC6684266,Mus musculus)
eLife,PMC6684266,Mus musculus)
BMC_Med_Genomics,PMC2763872,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
eNeuro,PMC5241709,Mus musculus
