cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169933.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169936.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169945.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC3810201.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC5391158.nxml , skipping..
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC2775695.nxml
surname | Sahlabadi
given-names | Mahdi
surname | Golshanbafghy
given-names | Hossein
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2553442.nxml
surname | Haibe-Kains
given-names | B.
surname | Desmedt
given-names | C.
surname | Sotiriou
given-names | C.
surname | Bontempi
given-names | G.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2638935.nxml
surname | Malhis
given-names | Nawar
surname | Butterfield
given-names | Yaron S. N.
surname | Ester
given-names | Martin
surname | Jones
given-names | Steven J. M.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2639077.nxml
surname | Bayjanov
given-names | Jumamurat R.
surname | Wels
given-names | Michiel
surname | Starrenburg
given-names | Marjo
surname | van Hylckama Vlieg
given-names | Johan E. T.
surname | Siezen
given-names | Roland J.
surname | Molenaar
given-names | Douwe
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2639278.nxml
surname | Zhu
given-names | Yuelin
surname | Davis
given-names | Sean
surname | Stephens
given-names | Robert
surname | Meltzer
given-names | Paul S.
surname | Chen
given-names | Yidong
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2642639.nxml
surname | Gatti
given-names | Daniel M.
surname | Shabalin
given-names | Andrey A.
surname | Lam
given-names | Tieu-Chong
surname | Wright
given-names | Fred A.
surname | Rusyn
given-names | Ivan
surname | Nobel
given-names | Andrew B.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2660872.nxml
surname | Bengtsson
given-names | Henrik
surname | Ray
given-names | Amrita
surname | Spellman
given-names | Paul
surname | Speed
given-names | Terence P.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2666812.nxml
surname | Bindea
given-names | Gabriela
surname | Mlecnik
given-names | Bernhard
surname | Hackl
given-names | Hubert
surname | Charoentong
given-names | Pornpimol
surname | Tosolini
given-names | Marie
surname | Kirilovsky
given-names | Amos
surname | Fridman
given-names | Wolf-Herman
surname | Pagès
given-names | Franck
surname | Trajanoski
given-names | Zlatko
surname | Galon
given-names | Jérôme
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2672630.nxml
surname | Sharma
given-names | Ashok
surname | Podolsky
given-names | Robert
surname | Zhao
given-names | Jieping
surname | McIndoe
given-names | Richard A.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2677744.nxml
surname | Anders
given-names | Simon
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2682523.nxml
surname | Schatz
given-names | Michael C.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2687992.nxml
surname | French
given-names | Leon
surname | Lane
given-names | Suzanne
surname | Law
given-names | Tamryn
surname | Xu
given-names | Lydia
surname | Pavlidis
given-names | Paul
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2705234.nxml
surname | Li
given-names | Heng
surname | Durbin
given-names | Richard
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2712334.nxml
surname | Folkersen
given-names | Lasse
surname | Diez
given-names | Diego
surname | Wheelock
given-names | Craig E.
surname | Haeggström
given-names | Jesper Z.
surname | Goto
given-names | Susumu
surname | Eriksson
given-names | Per
surname | Gabrielsen
given-names | Anders
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2722999.nxml
surname | Holt
given-names | Kathryn E.
surname | Teo
given-names | Yik Y.
surname | Li
given-names | Heng
surname | Nair
given-names | Satheesh
surname | Dougan
given-names | Gordon
surname | Wain
given-names | John
surname | Parkhill
given-names | Julian
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2734319.nxml
surname | Bengtsson
given-names | Henrik
surname | Wirapati
given-names | Pratyaksha
surname | Speed
given-names | Terence P.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2734321.nxml
surname | Whiteford
given-names | Nava
surname | Skelly
given-names | Tom
surname | Curtis
given-names | Christina
surname | Ritchie
given-names | Matt E.
surname | Löhr
given-names | Andrea
surname | Zaranek
given-names | Alexander Wait
surname | Abnizova
given-names | Irina
surname | Brown
given-names | Clive
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2752611.nxml
surname | Van Deun
given-names | K.
surname | Hoijtink
given-names | H.
surname | Thorrez
given-names | L.
surname | Van Lommel
given-names | L.
surname | Schuit
given-names | F.
surname | Van Mechelen
given-names | I.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2752623.nxml
surname | Chen
given-names | Yangho
surname | Souaiaia
given-names | Tade
surname | Chen
given-names | Ting
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2781748.nxml
surname | Keller
given-names | Andreas
surname | Backes
given-names | Christina
surname | Gerasch
given-names | Andreas
surname | Kaufmann
given-names | Michael
surname | Kohlbacher
given-names | Oliver
surname | Meese
given-names | Eckart
surname | Lenhof
given-names | Hans-Peter
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2781750.nxml
surname | Ye
given-names | Kai
surname | Schulz
given-names | Marcel H.
surname | Long
given-names | Quan
surname | Apweiler
given-names | Rolf
surname | Ning
given-names | Zemin
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2781753.nxml
surname | Kayano
given-names | Mitsunori
surname | Takigawa
given-names | Ichigaku
surname | Shiga
given-names | Motoki
surname | Tsuda
given-names | Koji
surname | Mamitsuka
given-names | Hiroshi
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2781754.nxml
surname | Lassmann
given-names | Timo
surname | Hayashizaki
given-names | Yoshihide
surname | Daub
given-names | Carsten O.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2788925.nxml
surname | Degner
given-names | Jacob F.
surname | Marioni
given-names | John C.
surname | Pai
given-names | Athma A.
surname | Pickrell
given-names | Joseph K.
surname | Nkadori
given-names | Everlyne
surname | Gilad
given-names | Yoav
surname | Pritchard
given-names | Jonathan K.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2820675.nxml
surname | Kim
given-names | Mingoo
surname | Cho
given-names | Sung Bum
surname | Kim
given-names | Ju Han
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2820678.nxml
surname | Simpson
given-names | Jared T.
surname | McIntyre
given-names | Rebecca E.
surname | Adams
given-names | David J.
surname | Durbin
given-names | Richard
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2828108.nxml
surname | Li
given-names | Heng
surname | Durbin
given-names | Richard
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2853688.nxml
surname | Shiraishi
given-names | Yuichi
surname | Kimura
given-names | Shuhei
surname | Okada
given-names | Mariko
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2853690.nxml
surname | Clarke
given-names | Jennifer
surname | Seo
given-names | Pearl
surname | Clarke
given-names | Bertrand
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2859126.nxml
surname | Faust
given-names | Karoline
surname | Dupont
given-names | Pierre
surname | Callut
given-names | Jérôme
surname | van Helden
given-names | Jacques
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2872005.nxml
surname | Sharma
given-names | Ashok
surname | Zhao
given-names | Jieping
surname | Podolsky
given-names | Robert
surname | McIndoe
given-names | Richard A.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2881367.nxml
surname | Vaske
given-names | Charles J.
surname | Benz
given-names | Stephen C.
surname | Sanborn
given-names | J. Zachary
surname | Earl
given-names | Dent
surname | Szeto
given-names | Christopher
surname | Zhu
given-names | Jingchun
surname | Haussler
given-names | David
surname | Stuart
given-names | Joshua M.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2881391.nxml
surname | Bryant
given-names | Douglas W.
suffix | Jr
surname | Shen
given-names | Rongkun
surname | Priest
given-names | Henry D.
surname | Wong
given-names | Weng-Keen
surname | Mockler
given-names | Todd C.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2881400.nxml
surname | Hormozdiari
given-names | Fereydoun
surname | Hajirasouliha
given-names | Iman
surname | Dao
given-names | Phuong
surname | Hach
given-names | Faraz
surname | Yorukoglu
given-names | Deniz
surname | Alkan
given-names | Can
surname | Eichler
given-names | Evan E.
surname | Sahinalp
given-names | S. Cenk
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2922890.nxml
surname | Hancock
given-names | Timothy
surname | Takigawa
given-names | Ichigaku
surname | Mamitsuka
given-names | Hiroshi
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2922896.nxml
surname | Wu
given-names | Di
surname | Lim
given-names | Elgene
surname | Vaillant
given-names | François
surname | Asselin-Labat
given-names | Marie-Liesse
surname | Visvader
given-names | Jane E.
surname | Smyth
given-names | Gordon K.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2935412.nxml
surname | Guy
given-names | Lionel
surname | Roat Kultima
given-names | Jens
surname | Andersson
given-names | Siv G. E.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2935415.nxml
surname | Dao
given-names | Phuong
surname | Colak
given-names | Recep
surname | Salari
given-names | Raheleh
surname | Moser
given-names | Flavia
surname | Davicioni
given-names | Elai
surname | Schönhuth
given-names | Alexander
surname | Ester
given-names | Martin
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2935420.nxml
surname | Nam
given-names | Dougu
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2935430.nxml
surname | Bonnet
given-names | Eric
surname | Michoel
given-names | Tom
surname | Van de Peer
given-names | Yves
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2951087.nxml
surname | Liu
given-names | Bao-Hong
surname | Yu
given-names | Hui
surname | Tu
given-names | Kang
surname | Li
given-names | Chun
surname | Li
given-names | Yi-Xue
surname | Li
given-names | Yuan-Yuan
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2951093.nxml
surname | Rizk
given-names | Guillaume
surname | Lavenier
given-names | Dominique
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2958743.nxml
surname | Sama
given-names | Iziah Edwin
surname | Huynen
given-names | Martijn A.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2971573.nxml
surname | Toedling
given-names | Joern
surname | Ciaudo
given-names | Constance
surname | Voinnet
given-names | Olivier
surname | Heard
given-names | Edith
surname | Barillot
given-names | Emmanuel
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC2995122.nxml
surname | Le Brigand
given-names | Kevin
surname | Robbe-Sermesant
given-names | Karine
surname | Mari
given-names | Bernard
surname | Barbry
given-names | Pascal
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3008642.nxml
surname | Lassmann
given-names | Timo
surname | Hayashizaki
given-names | Yoshihide
surname | Daub
given-names | Carsten O.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3035798.nxml
surname | Shimizu
given-names | Kana
surname | Tsuda
given-names | Koji
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3042180.nxml
surname | Baron
given-names | Daniel
surname | Bihouée
given-names | Audrey
surname | Teusan
given-names | Raluca
surname | Dubois
given-names | Emeric
surname | Savagner
given-names | Frédérique
surname | Steenman
given-names | Marja
surname | Houlgatte
given-names | Rémi
surname | Ramstein
given-names | Gérard
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3051324.nxml
surname | Posekany
given-names | A.
surname | Felsenstein
given-names | K.
surname | Sykacek
given-names | P.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3072547.nxml
surname | Mar
given-names | Jessica C.
surname | Wells
given-names | Christine A.
surname | Quackenbush
given-names | John
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3102221.nxml
surname | Krueger
given-names | Felix
surname | Andrews
given-names | Simon R.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3106194.nxml
surname | Niu
given-names | Beifang
surname | Zhu
given-names | Zhengwei
surname | Fu
given-names | Limin
surname | Wu
given-names | Sitao
surname | Li
given-names | Weizhong
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3117336.nxml
surname | Zhang
given-names | Shihua
surname | Li
given-names | Qingjiao
surname | Liu
given-names | Juan
surname | Zhou
given-names | Xianghong Jasmine
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3117360.nxml
surname | Peng
given-names | Yu
surname | Leung
given-names | Henry C. M.
surname | Yiu
given-names | S. M.
surname | Chin
given-names | Francis Y. L.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3117372.nxml
surname | Mayhew
given-names | Michael B.
surname | Robinson
given-names | Joshua W.
surname | Jung
given-names | Boyoun
surname | Haase
given-names | Steven B.
surname | Hartemink
given-names | Alexander J.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3117373.nxml
surname | Dao
given-names | Phuong
surname | Wang
given-names | Kendric
surname | Collins
given-names | Colin
surname | Ester
given-names | Martin
surname | Lapuk
given-names | Anna
surname | Sahinalp
given-names | S. Cenk
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3117386.nxml
surname | Medvedev
given-names | Paul
surname | Scott
given-names | Eric
surname | Kakaradov
given-names | Boyko
surname | Pevzner
given-names | Pavel
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3117390.nxml
surname | Furlotte
given-names | Nicholas A.
surname | Kang
given-names | Hyun Min
surname | Ye
given-names | Chun
surname | Eskin
given-names | Eleazar
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3129529.nxml
surname | Dutilh
given-names | Bas E.
surname | Jurgelenaite
given-names | Rasa
surname | Szklarczyk
given-names | Radek
surname | van Hijum
given-names | Sacha A.F.T.
surname | Harhangi
given-names | Harry R.
surname | Schmid
given-names | Markus
surname | de Wild
given-names | Bart
surname | Françoijs
given-names | Kees−Jan
surname | Stunnenberg
given-names | Hendrik G.
surname | Strous
given-names | Marc
surname | Jetten
given-names | Mike S.M.
surname | Op den Camp
given-names | Huub J.M.
surname | Huynen
given-names | Martijn A.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3137215.nxml
surname | Pireddu
given-names | Luca
surname | Leo
given-names | Simone
surname | Zanetti
given-names | Gianluigi
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3167058.nxml
surname | Bao
given-names | Ergude
surname | Jiang
given-names | Tao
surname | Kaloshian
given-names | Isgouhi
surname | Girke
given-names | Thomas
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3179659.nxml
surname | Singh
given-names | Darshan
surname | Orellana
given-names | Christian F.
surname | Hu
given-names | Yin
surname | Jones
given-names | Corbin D.
surname | Liu
given-names | Yufeng
surname | Chiang
given-names | Derek Y.
surname | Liu
given-names | Jinze
surname | Prins
given-names | Jan F.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3223363.nxml
surname | Salmela
given-names | Leena
surname | Mäkinen
given-names | Veli
surname | Välimäki
given-names | Niko
surname | Ylinen
given-names | Johannes
surname | Ukkonen
given-names | Esko
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3223368.nxml
surname | Névéol
given-names | Aurélie
surname | Wilbur
given-names | W. John
surname | Lu
given-names | Zhiyong
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3244761.nxml
surname | Zhao
given-names | Yongan
surname | Tang
given-names | Haixu
surname | Ye
given-names | Yuzhen
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3268236.nxml
surname | Kreck
given-names | Benjamin
surname | Marnellos
given-names | George
surname | Richter
given-names | Julia
surname | Krueger
given-names | Felix
surname | Siebert
given-names | Reiner
surname | Franke
given-names | Andre
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3268245.nxml
surname | Xia
given-names | Kai
surname | Shabalin
given-names | Andrey A.
surname | Huang
given-names | Shunping
surname | Madar
given-names | Vered
surname | Zhou
given-names | Yi-Hui
surname | Wang
given-names | Wei
surname | Zou
given-names | Fei
surname | Sun
given-names | Wei
surname | Sullivan
given-names | Patrick F.
surname | Wright
given-names | Fred A.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3268249.nxml
surname | Marco
given-names | Antonio
surname | Griffiths-Jones
given-names | Sam
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3278765.nxml
surname | Zhang
given-names | Yanju
surname | Lameijer
given-names | Eric-Wubbo
surname | 't Hoen
given-names | Peter A. C.
surname | Ning
given-names | Zemin
surname | Slagboom
given-names | P. Eline
surname | Ye
given-names | Kai
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3288749.nxml
surname | Kohane
given-names | Isaac S.
surname | Valtchinov
given-names | Vladimir I.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3315713.nxml
surname | Kawaguchi
given-names | Shuji
surname | Iida
given-names | Kei
surname | Harada
given-names | Erimi
surname | Hanada
given-names | Kousuke
surname | Matsui
given-names | Akihiro
surname | Okamoto
given-names | Masanori
surname | Shinozaki
given-names | Kazuo
surname | Seki
given-names | Motoaki
surname | Toyoda
given-names | Tetsuro
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3315722.nxml
surname | Arends
given-names | Danny
surname | van der Velde
given-names | K. Joeri
surname | Prins
given-names | Pjotr
surname | Broman
given-names | Karl W.
surname | Möller
given-names | Steffen
surname | Jansen
given-names | Ritsert C.
surname | Swertz
given-names | Morris A.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3324515.nxml
surname | Schulz
given-names | Marcel H.
surname | Zerbino
given-names | Daniel R.
surname | Vingron
given-names | Martin
surname | Birney
given-names | Ewan
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3348561.nxml
surname | Xue
given-names | Vincent
surname | Burdett
given-names | Tony
surname | Lukk
given-names | Margus
surname | Taylor
given-names | Julie
surname | Brazma
given-names | Alvis
surname | Parkinson
given-names | Helen
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3371835.nxml
surname | Niida
given-names | Atushi
surname | Imoto
given-names | Seiya
surname | Shimamura
given-names | Teppei
surname | Miyano
given-names | Satoru
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3371846.nxml
surname | Yorukoglu
given-names | Deniz
surname | Hach
given-names | Faraz
surname | Swanson
given-names | Lucas
surname | Collins
given-names | Colin C.
surname | Birol
given-names | Inanc
surname | Sahinalp
given-names | S. Cenk
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3371851.nxml
surname | Ronen
given-names | Roy
surname | Boucher
given-names | Christina
surname | Chitsaz
given-names | Hamidreza
surname | Pevzner
given-names | Pavel
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3371868.nxml
surname | Conway
given-names | Thomas
surname | Wazny
given-names | Jeremy
surname | Bromage
given-names | Andrew
surname | Tymms
given-names | Martin
surname | Sooraj
given-names | Dhanya
surname | Williams
given-names | Elizabeth D.
surname | Beresford-Smith
given-names | Bryan
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3381971.nxml
surname | Glaus
given-names | Peter
surname | Honkela
given-names | Antti
surname | Rattray
given-names | Magnus
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3436802.nxml
surname | Kshirsagar
given-names | Meghana
surname | Carbonell
given-names | Jaime
surname | Klein-Seetharaman
given-names | Judith
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3436829.nxml
surname | Ng
given-names | Sam
surname | Collisson
given-names | Eric A.
surname | Sokolov
given-names | Artem
surname | Goldstein
given-names | Theodore
surname | Gonzalez-Perez
given-names | Abel
surname | Lopez-Bigas
given-names | Nuria
surname | Benz
given-names | Christopher
surname | Haussler
given-names | David
surname | Stuart
given-names | Joshua M.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3436832.nxml
surname | Sykacek
given-names | P.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3436841.nxml
surname | Liu
given-names | Yongchao
surname | Schmidt
given-names | Bertil
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3436850.nxml
surname | Ryan
given-names | Michael C.
surname | Cleland
given-names | James
surname | Kim
given-names | RyangGuk
surname | Wong
given-names | Wing Chung
surname | Weinstein
given-names | John N.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3463116.nxml
surname | Gusenleitner
given-names | Daniel
surname | Howe
given-names | Eleanor A.
surname | Bentink
given-names | Stefan
surname | Quackenbush
given-names | John
surname | Culhane
given-names | Aedín C.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3463121.nxml
surname | Li
given-names | Wenyuan
surname | Zhang
given-names | Shihua
surname | Liu
given-names | Chun-Chi
surname | Zhou
given-names | Xianghong Jasmine
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3496337.nxml
surname | Preston
given-names | Mark D.
surname | Manske
given-names | Magnus
surname | Horner
given-names | Neil
surname | Assefa
given-names | Samuel
surname | Campino
given-names | Susana
surname | Auburn
given-names | Sarah
surname | Zongo
given-names | Issaka
surname | Ouedraogo
given-names | Jean-Bosco
surname | Nosten
given-names | Francois
surname | Anderson
given-names | Tim
surname | Clark
given-names | Taane G.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3516142.nxml
surname | Fu
given-names | Limin
surname | Niu
given-names | Beifang
surname | Zhu
given-names | Zhengwei
surname | Wu
given-names | Sitao
surname | Li
given-names | Weizhong
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3546795.nxml
surname | Teschendorff
given-names | Andrew E.
surname | Marabita
given-names | Francesco
surname | Lechner
given-names | Matthias
surname | Bartlett
given-names | Thomas
surname | Tegner
given-names | Jesper
surname | Gomez-Cabrero
given-names | David
surname | Beck
given-names | Stephan
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3546799.nxml
surname | Wang
given-names | Wenting
surname | Baladandayuthapani
given-names | Veerabhadran
surname | Morris
given-names | Jeffrey S.
surname | Broom
given-names | Bradley M.
surname | Manyam
given-names | Ganiraju
surname | Do
given-names | Kim-Anh
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3546802.nxml
surname | Li
given-names | Yang I.
surname | Copley
given-names | Richard R.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3562070.nxml
surname | Naeem
given-names | Raeece
surname | Rashid
given-names | Mamoon
surname | Pain
given-names | Arnab
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3570216.nxml
surname | Ramachandran
given-names | Parameswaran
surname | Palidwor
given-names | Gareth A.
surname | Porter
given-names | Christopher J.
surname | Perkins
given-names | Theodore J.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3582262.nxml
surname | Li
given-names | Jing-Woei
surname | Wan
given-names | Raymond
surname | Yu
given-names | Chi-Shing
surname | Co
given-names | Ngai Na
surname | Wong
given-names | Nathalie
surname | Chan
given-names | Ting-Fung
publication | /u/scratch/n/nikodm/pmcOA/Bioinformatics/PMC3582270.nxml
surname | Knowles
given-names | David G.
surname | Röder
given-names | Maik
surname | Merkel
given-names | Angelika
surname | Guigó
given-names | Roderic
